incident_id,date,state,n_killed,,,,,,,,,,,,,,,,
92243,1/1/14,Virginia,0,,,,,,,,,,,,,,,,
92397,1/1/14,Pennsylvania,0,,,,,,,,,,,,,,,,
93235,1/1/14,Texas,0,,,,,,,,,,,,,,,,
92202,1/1/14,Virginia,0,,,,,,,,,,,,,,,,
95620,1/1/14,Massachusetts,0,,,,,,,,,,,,,,,,
92311,1/1/14,Wisconsin,0,,,,,,,,,,,,,,,,
92677,1/1/14,Maryland,0,,,,,,,,,,,,,,,,
92200,1/1/14,Virginia,0,,,,,,,,,,,,,,,,
95290,1/1/14,Nevada,0,,,,,,,,,,,,,,,,
92309,1/1/14,Wisconsin,0,,,,,,,,,,,,,,,,
92672,1/1/14,Maryland,0,,,,,,,,,,,,,,,,
92197,1/1/14,Virginia,0,,,,,,,,,,,,,,,,
165408,1/1/14,Texas,0,,,,,,,,,,,,,,,,
97866,1/1/14,Louisiana,1,,,,,,,,,,,,,,,,
94486,1/1/14,New Jersey,0,,,,,,,,,,,,,,,,
92160,1/1/14,Oklahoma,1,,,,,,,,,,,,,,,,
92230,1/1/14,Virginia,0,,,,,,,,,,,,,,,,
141405,1/1/14,Indiana,0,,,,,,,,,,,,,,,,
92386,1/1/14,California,0,,,,,,,,,,,,,,,,
92924,1/1/14,Illinois,0,,,,,,,,,,,,,,,,
92228,1/1/14,Arkansas,0,,,,,,,,,,,,,,,,
121881,1/1/14,Minnesota,0,,,,,,,,,,,,,,,,
92376,1/1/14,Alaska,0,,,,,,,,,,,,,,,,
92908,1/1/14,Missouri,0,,,,,,,,,,,,,,,,
92186,1/1/14,Kentucky,0,,,,,,,,,,,,,,,,
95283,1/1/14,Washington,0,,,,,,,,,,,,,,,,
92620,1/1/14,Michigan,0,,,,,,,,,,,,,,,,
92183,1/1/14,Kentucky,0,,,,,,,,,,,,,,,,
95277,1/1/14,Georgia,0,,,,,,,,,,,,,,,,
92296,1/1/14,Illinois,0,,,,,,,,,,,,,,,,
92612,1/1/14,Michigan,0,,,,,,,,,,,,,,,,
92165,1/1/14,Kentucky,0,,,,,,,,,,,,,,,,
92560,1/1/14,Florida,0,,,,,,,,,,,,,,,,
95246,1/1/14,Missouri,0,,,,,,,,,,,,,,,,
92522,1/1/14,Florida,2,,,,,,,,,,,,,,,,
95245,1/1/14,Virginia,0,,,,,,,,,,,,,,,,
92409,1/1/14,New Jersey,1,,,,,,,,,,,,,,,,
93491,1/1/14,Iowa,0,,,,,,,,,,,,,,,,
92453,1/1/14,Alabama,0,,,,,,,,,,,,,,,,
94704,1/1/14,Texas,0,,,,,,,,,,,,,,,,
92472,1/1/14,North Carolina,1,,,,,,,,,,,,,,,,
92301,1/1/14,Illinois,0,,,,,,,,,,,,,,,,
92233,1/1/14,North Carolina,0,,,,,,,,,,,,,,,,
261045,1/1/14,New York,0,,,,,,,,,,,,,,,,
150401,1/1/14,New York,0,,,,,,,,,,,,,,,,
95211,1/1/14,District of Columbia,0,,,,,,,,,,,,,,,,
95207,1/1/14,District of Columbia,0,,,,,,,,,,,,,,,,
95203,1/1/14,District of Columbia,0,,,,,,,,,,,,,,,,
95212,1/1/14,District of Columbia,0,,,,,,,,,,,,,,,,
95206,1/1/14,District of Columbia,0,,,,,,,,,,,,,,,,
95202,1/1/14,District of Columbia,0,,,,,,,,,,,,,,,,
182940,1/1/14,Michigan,1,,,,,,,,,,,,,,,,
92859,1/1/14,Louisiana,0,,,,,,,,,,,,,,,,
92114,1/1/14,Kentucky,0,,,,,,,,,,,,,,,,
92137,1/1/14,New York,0,,,,,,,,,,,,,,,,
95173,1/1/14,District of Columbia,0,,,,,,,,,,,,,,,,
95273,1/1/14,Indiana,0,,,,,,,,,,,,,,,,
92148,1/1/14,New York,0,,,,,,,,,,,,,,,,
92158,1/1/14,Virginia,1,,,,,,,,,,,,,,,,
92245,1/1/14,Ohio,0,,,,,,,,,,,,,,,,
92151,1/1/14,West Virginia,0,,,,,,,,,,,,,,,,
92432,1/1/14,New York,1,,,,,,,,,,,,,,,,
100729,1/1/14,Florida,1,,,,,,,,,,,,,,,,
92294,1/1/14,North Carolina,1,,,,,,,,,,,,,,,,
92481,1/1/14,Florida,0,,,,,,,,,,,,,,,,
92177,1/1/14,Ohio,0,,,,,,,,,,,,,,,,
95071,1/1/14,Louisiana,0,,,,,,,,,,,,,,,,
92679,1/2/14,Maryland,1,,,,,,,,,,,,,,,,
213872,1/2/14,Maryland,0,,,,,,,,,,,,,,,,
152090,1/2/14,New Jersey,0,,,,,,,,,,,,,,,,
92524,1/2/14,Florida,0,,,,,,,,,,,,,,,,
93429,1/2/14,Texas,0,,,,,,,,,,,,,,,,
92380,1/2/14,California,0,,,,,,,,,,,,,,,,
92378,1/2/14,California,1,,,,,,,,,,,,,,,,
92668,1/2/14,Maryland,2,,,,,,,,,,,,,,,,
92665,1/2/14,Idaho,0,,,,,,,,,,,,,,,,
92875,1/2/14,Michigan,0,,,,,,,,,,,,,,,,
93509,1/2/14,Mississippi,0,,,,,,,,,,,,,,,,
212374,1/2/14,Pennsylvania,0,,,,,,,,,,,,,,,,
92687,1/2/14,Maryland,0,,,,,,,,,,,,,,,,
92277,1/2/14,Indiana,1,,,,,,,,,,,,,,,,
92528,1/2/14,Tennessee,0,,,,,,,,,,,,,,,,
93694,1/2/14,Ohio,0,,,,,,,,,,,,,,,,
92819,1/2/14,Alabama,0,,,,,,,,,,,,,,,,
92530,1/2/14,Florida,0,,,,,,,,,,,,,,,,
94400,1/2/14,Missouri,1,,,,,,,,,,,,,,,,
95157,1/2/14,District of Columbia,0,,,,,,,,,,,,,,,,
95160,1/2/14,District of Columbia,0,,,,,,,,,,,,,,,,
95165,1/2/14,District of Columbia,0,,,,,,,,,,,,,,,,
92508,1/2/14,Florida,0,,,,,,,,,,,,,,,,
92883,1/2/14,Florida,1,,,,,,,,,,,,,,,,
92867,1/2/14,Florida,1,,,,,,,,,,,,,,,,
92771,1/2/14,Texas,0,,,,,,,,,,,,,,,,
217092,1/2/14,Texas,0,,,,,,,,,,,,,,,,
